VIN,customerID,start_date,service_writer,odometer,labor_cost,repair_desc,completion_date
07TSE0YYIZF380247,55,2020-11-15,user15,208373,271.53,remove oversteer; change oil filter; ,2020-12-02
07TSE0YYIZF380247,55,2020-12-24,user29,212840,701.46,install separate rear audio; change air conditioner refrigerant; ,2021-05-26
07TSE0YYIZF380247,55,2021-06-08,roland,258277,113.14,install turbocharger; add heated windshield; ,2021-06-25
07TSE0YYIZF380247,55,2021-07-30,user12,423388,22.63,install curtain airbags; fix rear defroster; ,2021-08-03
07TSE0YYIZF380247,55,2021-08-22,user17,533194,45.26,fix deceleration system; replace liftgate window; ,2021-08-29
0BT52YYB1L8670257,56,2020-12-02,user15,42914,5248.11,fix steering damper; prevent fuel pump shutoff; ,2021-01-15
0BT52YYB1L8670257,56,2021-03-18,user17,402512,1049.62,replace serpentine belt; fix rear hvac; ,2021-03-31
0BT52YYB1L8670257,56,2021-06-21,roland,1231624,449.84,refurbish power steering; replace radiator core & ac condenser; ,2021-07-08
0EPPRCZZ8NW751990,187,2020-12-19,user15,214256,957.81,fix a-pillar; install roof spoiler; ,2021-01-21
0EPPRCZZ8NW751990,187,2021-02-23,user29,252860,1340.94,fix power activated release; ,2021-03-23
0EPPRCZZ8NW751990,187,2021-03-25,user12,264828,1149.38,repair shiftable automatic transmission; upgrade navigation system; ,2021-04-28
0EPPRCZZ8NW751990,187,2021-05-28,user15,552138,143.67,refurbish power steering; ,2021-06-02
0EPPRCZZ8NW751990,187,2021-07-13,user13,679565,622.58,adjust reverse tilt mirrors; adjust accelerator pedal linkage; ,2021-08-08
0EPPRCZZ8NW751990,187,2021-08-13,user12,736029,622.58,replace fuel filter; install curtain airbags; ,2021-09-12
0I0Q707FJ2E520815,153,2021-04-01,roland,192965,62.47,install active pedestrian protection system; ,2021-04-06
0I0Q707FJ2E520815,153,2021-04-20,user30,263376,15.62,adjust turn signals; ,2021-04-24
0I0Q707FJ2E520815,153,2021-04-27,user12,296601,531,repair cooled seats; ,2021-07-18
0I0Q707FJ2E520815,153,2021-09-03,roland,463087,31.24,repair seatbelt force limiters; change steering rack; ,2021-09-04
0I0Q707FJ2E520815,153,2021-09-09,roland,480750,15.62,fix external temperature display; adjust hybrid performance; ,2021-09-13
0I0Q707FJ2E520815,153,2021-09-15,user12,489679,78.09,reduce blind spot; install separate rear audio; ,2021-09-26
0K0DP4SDKL0912273,15,2020-10-13,user12,262543,60.89,improve cylinder configuration; correct abs; ,2020-10-20
0K0DP4SDKL0912273,15,2020-11-07,user29,418676,213.12,adjust regenerative braking; refurbish power steering; ,2020-12-17
0K0DP4SDKL0912273,15,2021-01-05,user17,510754,91.34,install active pedestrian protection system; fix power activated release; ,2021-01-18
0K0DP4SDKL0912273,15,2021-01-23,user13,550653,121.78,check drive axle boots; change coolant; ,2021-01-27
0K0DP4SDKL0912273,15,2021-03-06,user33,933976,91.34,set up satellite radio; change steering rack; ,2021-03-09
0K0DP4SDKL0912273,15,2021-03-15,user29,995206,1887.64,fix broken tow hooks; ,2021-05-26
0K0DP4SDKL0912273,15,2021-06-10,user17,1111798,152.23,adjust block heater; replace timing belt tensioner; ,2021-06-20
0K0DP4SDKL0912273,15,2021-06-25,user17,1112275,274.01,install intelligent alternator; change air conditioner refrigerant; ,2021-07-22
0UBBG820VBK445621,183,2021-05-07,user33,124384,72.57,set up satellite radio; fix nvh dampening system; ,2021-05-08
0UBBG820VBK445621,183,2021-05-10,user17,141997,254.01,install vanity mirrors; adjust running boards; ,2021-05-23
0UBBG820VBK445621,183,2021-05-27,user13,145489,108.86,change speaker configuration; configure audio remote control; ,2021-06-10
0UBBG820VBK445621,183,2021-06-17,user17,186370,217.72,install vanity mirrors; replace water pump; ,2021-06-23
0UBBG820VBK445621,183,2021-06-28,user17,196031,254.01,replace crankcase ventilation filter; change brake linings; ,2021-07-06
0UBBG820VBK445621,183,2021-07-24,user33,401752,254.01,fix steering damper; fix rear hvac; ,2021-09-03
0VWWXBNXE6N897485,63,2020-10-15,user30,69901,60.4,replace tail lights; fix a-pillar; ,2020-10-21
0VWWXBNXE6N897485,63,2020-11-22,user33,310382,10.07,add knee airbags; configure audio remote control; ,2020-11-22
0VWWXBNXE6N897485,63,2021-04-02,user12,1643847,130.87,install smoked glass; replace water pump; ,2021-04-21
0VWWXBNXE6N897485,63,2021-04-24,user15,1647703,231.54,configure audio remote control; replace steering column lock; ,2021-06-30
0VWWXBNXE6N897485,63,2021-08-26,user30,2267138,30.2,install active pedestrian protection system; replace radiator hoses; ,2021-09-04
0VWWXBNXE6N897485,63,2021-09-21,user30,2440216,20.13,refurbish power steering; reduce carbon footprint; ,2021-09-24
0WPI14P1N3Y139809,123,2021-06-07,user17,1457248,85.13,change memory settings of the onboard computer; reduce blind spot; ,2021-06-08
0WPI14P1N3Y139809,123,2021-06-24,user13,1545719,808.72,repair direct injection system; replace radiator hoses; ,2021-07-29
0YQVT1ME4G3999928,180,2021-06-07,user15,105444,54.29,fix ventilated seats; ,2021-06-11
0YQVT1ME4G3999928,180,2021-07-12,user13,189834,195.46,configure audio remote control; fix deceleration system; ,2021-08-01
0YQVT1ME4G3999928,180,2021-08-02,user29,191508,54.29,change purge valve; ,2021-08-06
0YQVT1ME4G3999928,180,2021-08-08,user12,208823,10.86,change timing belt; ,2021-08-08
0YQVT1ME4G3999928,180,2021-08-18,user33,305853,217.18,replace tail lights; configure audio remote control; ,2021-09-10
15G3KHMPQ6Q659826,104,2020-12-12,user33,58046,1946.11,fix a-pillar; ,2021-04-11
15G3KHMPQ6Q659826,104,2021-05-03,user13,224875,1500.13,remove oversteer; replace stabilizer bar; ,2021-07-17
15G3KHMPQ6Q659826,104,2021-07-30,user13,370157,445.98,adjust block heater; fix solar sunroof; ,2021-08-11
15G3KHMPQ6Q659826,104,2021-08-14,user29,387753,445.98,replace stabilizer bar; fix a-pillar; ,2021-08-25
15G3KHMPQ6Q659826,104,2021-08-31,user30,444599,162.18,replace ace filter; replace crankcase ventilation filter; ,2021-09-07
1DQL1LHOWDJ517215,188,2021-01-26,user12,47109,64.23,fix broken tow hooks; replace water pump; ,2021-02-03
1DQL1LHOWDJ517215,188,2021-04-04,user13,264799,38.54,adjust running boards; ,2021-04-09
1DQL1LHOWDJ517215,188,2021-05-20,user15,720210,12.85,install roof spoiler; change steering rack; ,2021-06-01
1DQL1LHOWDJ517215,188,2021-07-28,user29,1266546,25.69,repair seatbelt force limiters; reduce carbon footprint; ,2021-07-30
1DQL1LHOWDJ517215,188,2021-08-01,user12,1271662,25.69,install intelligent alternator; replace fuel filter; ,2021-08-04
1EF7NFU0EUT973245,102,2020-11-13,user17,73094,372.7,replace radiator core & ac condenser; replace radiator hoses; ,2020-12-09
1EF7NFU0EUT973245,102,2020-12-13,user12,109188,807.51,fix steering damper; change oil filter; ,2021-02-01
1EF7NFU0EUT973245,102,2021-02-08,user13,179889,62.12,improve engine performance; upgrade navigation system; ,2021-02-11
1EF7NFU0EUT973245,102,2021-02-18,user17,259068,248.46,upgrade navigation system; replace radiator hoses; ,2021-03-07
1EF7NFU0EUT973245,102,2021-03-21,user30,348692,31.06,fix rear defroster; ,2021-03-28
1EF7NFU0EUT973245,102,2021-04-11,user12,436154,186.35,fix rear hvac; fix rear defroster; ,2021-04-17
1EF7NFU0EUT973245,102,2021-04-19,user33,459703,186.35,adjust turn signals; refurbish power steering; ,2021-04-30
1EF7NFU0EUT973245,102,2021-05-22,user13,523678,2702.04,fix nvh dampening system; ,2021-09-08
1FU8E0GMYMW270793,188,2020-05-09,user12,61043,26.54,configure audio remote control; adjust ignition timing; ,2020-05-10
1FU8E0GMYMW270793,188,2020-07-28,user13,785070,345.08,fix sunroof; adjust regenerative braking; ,2020-09-05
1FU8E0GMYMW270793,188,2020-09-07,roland,798566,318.54,add knee airbags; replace brake pedal spring; ,2020-09-21
1FU8E0GMYMW270793,188,2020-10-13,user30,965804,238.9,install dusk-sensing headlights; adjust regenerative braking; ,2020-10-21
1FU8E0GMYMW270793,188,2020-10-23,user17,970370,212.36,change oil filter; replace liftgate window; ,2020-11-08
1FU8E0GMYMW270793,188,2020-11-16,user33,978184,132.72,install anti-theft alarm; change brake linings; ,2020-12-11
1FU8E0GMYMW270793,188,2021-02-22,user15,1619087,2681.03,fix a-pillar; adjust block heater; ,2021-08-09
1NGZ4FLKC0Y272420,83,2021-06-08,roland,72873,11.36,check drive axle boots; adjust retractable mirrors; ,2021-06-09
1NGZ4FLKC0Y272420,83,2021-06-15,user12,76596,45.42,replace ace filter; replace stabilizer bar; ,2021-06-19
1NGZ4FLKC0Y272420,83,2021-06-25,user13,119666,22.71,reduce carbon footprint; install turbocharger; ,2021-07-05
1NGZ4FLKC0Y272420,83,2021-07-16,user12,143465,11.36,prevent fuel pump shutoff; repair direct injection system; ,2021-07-20
1NGZ4FLKC0Y272420,83,2021-07-25,user17,202774,11.36,fix external temperature display; install curtain airbags; ,2021-07-27
1NGZ4FLKC0Y272420,83,2021-08-04,user17,250390,22.71,install active pedestrian protection system; attach spoiler; ,2021-08-11
1NGZ4FLKC0Y272420,83,2021-08-16,user15,309380,79.49,improve cylinder configuration; ,2021-08-27
1XHDZEREQ7I052484,128,2021-04-22,roland,6363,5458.27,change suspension fluid; ,2021-09-22
20DS0RGMDXW132327,71,2021-07-07,user17,208311,36.02,adjust seat belts tension; ,2021-07-08
20DS0RGMDXW132327,71,2021-07-19,roland,303681,18.01,add heated windshield; ,2021-07-29
20DS0RGMDXW132327,71,2021-08-21,user13,346199,396.22,adjust accelerator pedal linkage; fix ventilated seats; ,2021-09-20
21SSFP0O1TZ975822,65,2021-05-22,user30,57107,50.55,install optional equipment; add knee airbags; ,2021-05-23
21SSFP0O1TZ975822,65,2021-05-28,user12,98291,126.37,adjust traction control system; improve cylinder configuration; ,2021-06-04
21SSFP0O1TZ975822,65,2021-06-12,user29,130801,101.1,install on-board diagnosis system; ,2021-06-16
21SSFP0O1TZ975822,65,2021-06-18,roland,146669,50.55,adjust seat belts tension; fix rear defroster; ,2021-07-05
21SSFP0O1TZ975822,65,2021-07-18,user12,229387,50.55,change air conditioner refrigerant; replace catalytic converter; ,2021-07-21
21SSFP0O1TZ975822,65,2021-07-22,roland,239563,25.27,replace diverter valve; install vanity mirrors; ,2021-07-25
21SSFP0O1TZ975822,65,2021-07-26,user13,250119,25.27,change timing belt; repair seatbelt force limiters; ,2021-07-26
21SSFP0O1TZ975822,65,2021-08-01,user29,318440,25.27,replace diverter valve; change speaker configuration; ,2021-09-10
21SSFP0O1TZ975822,65,2021-09-21,user17,376830,50.55,fix broken tow hooks; ,2021-09-22
222BHPCRR2U716446,192,2021-01-05,user30,187968,772.04,replace fuel filter; refurbish power steering; ,2021-02-12
222BHPCRR2U716446,192,2021-02-21,user30,200574,22.06,install active pedestrian protection system; install anti-theft alarm; ,2021-02-22
222BHPCRR2U716446,192,2021-04-30,user12,386293,948.51,change speaker configuration; repair seatbelt force limiters; ,2021-06-24
222BHPCRR2U716446,192,2021-07-30,user30,458445,374.99,fix ventilated seats; replace radiator hoses; ,2021-08-17
23XU4U8IFDL261229,50,2021-03-11,user12,65930,18.12,fix ventilated seats; remove oversteer; ,2021-03-12
23XU4U8IFDL261229,50,2021-03-26,user30,135300,199.33,replace steering column lock; fix solar sunroof; ,2021-04-05
23XU4U8IFDL261229,50,2021-04-08,user12,169393,90.6,attach spoiler; fix ventilated seats; ,2021-04-19
23XU4U8IFDL261229,50,2021-05-05,user30,234023,344.29,fix nvh dampening system; adjust retractable mirrors; ,2021-05-26
23XU4U8IFDL261229,50,2021-06-11,user17,297905,362.42,repair cooled seats; ,2021-07-04
23XU4U8IFDL261229,50,2021-07-31,user15,356221,108.72,fix cylinder head bolts; install active pedestrian protection system; ,2021-08-10
23XU4U8IFDL261229,50,2021-09-14,user33,370976,36.24,fix rear hvac; adjust traction control system; ,2021-09-17
26OCQWEQYJV636712,105,2021-06-23,user17,42254,25.73,fix broken tow hooks; refurbish power steering; ,2021-06-24
26OCQWEQYJV636712,105,2021-07-06,user30,81002,102.94,install separate rear audio; remove oversteer; ,2021-07-10
26OCQWEQYJV636712,105,2021-07-15,user30,93950,617.63,fix cylinder head bolts; configure audio remote control; ,2021-08-23
26OCQWEQYJV636712,105,2021-09-02,user15,100839,128.67,upgrade navigation system; repair cooled seats; ,2021-09-16
26OCQWEQYJV636712,105,2021-09-20,user13,114817,51.47,add knee airbags; attach seat extension; ,2021-09-26
26RIMRHVSQK619881,174,2020-12-12,user29,97994,65.9,install anti-theft alarm; change purge valve; ,2020-12-26
26RIMRHVSQK619881,174,2020-12-27,user17,99036,65.9,adjust retractable mirrors; replace crankcase ventilation filter; ,2020-12-30
26RIMRHVSQK619881,174,2021-01-02,user15,104860,98.85,adjust retractable mirrors; adjust hybrid performance; ,2021-01-22
26RIMRHVSQK619881,174,2021-03-05,roland,393766,395.41,replace brake pedal spring; adjust seat belts tension; ,2021-04-01
26RIMRHVSQK619881,174,2021-04-18,roland,564054,395.41,install roof spoiler; change coolant; ,2021-05-18
26RIMRHVSQK619881,174,2021-06-23,user17,785525,131.8,set up satellite radio; ,2021-07-01
26RIMRHVSQK619881,174,2021-07-07,user29,821654,164.75,adjust ignition timing; configure universal remote control; ,2021-07-19
26RIMRHVSQK619881,174,2021-07-31,user13,864245,32.95,change coolant; replace radiator hoses; ,2021-08-20
26RIMRHVSQK619881,174,2021-08-31,user30,907075,214.18,replace tail lights; install on-board diagnosis system; ,2021-09-24
280ECEXOEHP375800,163,2021-05-08,user12,5810,211.34,replace liftgate window; install anti-theft alarm; ,2021-07-05
280ECEXOEHP375800,163,2021-07-07,roland,26724,169.07,adjust turn signals; ,2021-07-28
280ECEXOEHP375800,163,2021-07-31,user15,43854,84.53,change oil filter; set up auto-delay headlights; ,2021-08-04
280ECEXOEHP375800,163,2021-08-21,user12,158158,63.4,replace serpentine belt; improve engine performance; ,2021-08-27
2GJ51MZ0A1N199895,38,2021-02-22,user12,28761,54.87,change suspension fluid; adjust hybrid performance; ,2021-02-24
2GJ51MZ0A1N199895,38,2021-03-10,user13,194279,246.9,install anti-theft alarm; change purge valve; ,2021-03-23
2GJ51MZ0A1N199895,38,2021-06-11,user13,1110095,54.87,replace radiator core & ac condenser; ,2021-06-23
2GJ51MZ0A1N199895,38,2021-07-07,user12,1261293,27.43,reconfigure service reminder light; add knee airbags; ,2021-07-17
2GJ51MZ0A1N199895,38,2021-07-30,user33,1341336,27.43,replace tail lights; ,2021-07-30
2GJ51MZ0A1N199895,38,2021-07-31,user13,1348411,1344.22,fix nvh dampening system; attach spoiler; ,2021-09-26
2H6ZZF8OOXC822443,134,2020-08-05,user29,472034,909.92,change pcv filter/pcv valve; ,2020-09-25
2H6ZZF8OOXC822443,134,2020-11-17,user17,947457,478.91,repair direct injection system; install turbocharger; ,2021-01-03
2H6ZZF8OOXC822443,134,2021-01-25,user12,1013067,5315.86,adjust turn signals; repair cooled seats; ,2021-06-10
2JS82H11FSA911163,13,2021-04-29,user29,156810,297.32,fix external temperature display; set up auto-delay headlights; ,2021-05-10
2JS82H11FSA911163,13,2021-05-23,roland,179010,42.47,install intelligent alternator; reduce carbon footprint; ,2021-06-04
2JS82H11FSA911163,13,2021-06-08,user13,179772,552.17,adjust running boards; replace stabilizer bar; ,2021-06-21
2JS82H11FSA911163,13,2021-07-02,user12,270710,84.95,adjust turn signals; make polarization coating; ,2021-07-04
2JS82H11FSA911163,13,2021-07-14,user30,283305,42.47,change oil filter; configure audio remote control; ,2021-07-18
2JS82H11FSA911163,13,2021-09-05,user33,408987,84.95,fix rear defroster; upgrade navigation system; ,2021-09-14
2JS82H11FSA911163,13,2021-09-18,user13,412289,42.47,change purge valve; ,2021-09-18
2NMR3SMFNAZ813043,82,2021-06-30,user33,146461,274.33,set up gyro sensor; ,2021-07-09
2NMR3SMFNAZ813043,82,2021-07-17,user15,194614,1152.19,install curtain airbags; fix nvh dampening system; ,2021-08-29
2UL7JBUREY0725461,161,2021-06-28,user30,193819,129.59,replace stabilizer bar; install dusk-sensing headlights; ,2021-07-02
2UL7JBUREY0725461,161,2021-07-03,roland,199212,43.2,fix power activated release; install dusk-sensing headlights; ,2021-07-04
2UL7JBUREY0725461,161,2021-07-06,user17,210660,734.33,repair cooled seats; fix solar sunroof; ,2021-08-03
2UL7JBUREY0725461,161,2021-08-17,roland,345788,172.78,set up gyro sensor; install intelligent alternator; ,2021-08-20
2UL7JBUREY0725461,161,2021-09-03,user13,374808,431.96,adjust accelerator pedal linkage; ,2021-09-12
2UL7JBUREY0725461,161,2021-09-13,user30,377158,215.98,fix external temperature display; correct abs; ,2021-09-26
2W7BN5RJGCI094698,21,2021-07-06,user29,81617,1663.44,adjust traction control system; ,2021-08-04
2W7BN5RJGCI094698,21,2021-08-26,user33,108046,237.63,replace timing belt tensioner; repair direct injection system; ,2021-08-30
2W7BN5RJGCI094698,21,2021-09-21,user17,312562,237.63,fix power activated release; reduce carbon footprint; ,2021-09-22
2ZGQSMRVMSR266772,124,2021-07-01,user17,57081,47.04,change suspension fluid; ,2021-07-04
2ZGQSMRVMSR266772,124,2021-07-08,user15,89132,11.76,set up auto-delay headlights; adjust seat belts tension; ,2021-07-11
2ZGQSMRVMSR266772,124,2021-07-12,user33,96854,23.52,replace timing belt tensioner; reduce fuel consumption; ,2021-07-19
2ZGQSMRVMSR266772,124,2021-08-08,user13,123868,105.83,change oil filter; replace tail lights; ,2021-08-16
2ZGQSMRVMSR266772,124,2021-08-17,user29,134789,11.76,fix power activated release; install dusk-sensing headlights; ,2021-08-28
2ZGQSMRVMSR266772,124,2021-09-03,roland,140972,11.76,reduce carbon footprint; repair cooled seats; ,2021-09-05
2ZGQSMRVMSR266772,124,2021-09-25,user17,279931,11.76,replace liftgate window; repair seatbelt force limiters; ,2021-09-26
36GPKZLLJM1116960,180,2020-05-16,user13,371260,337.24,adjust accelerator pedal linkage; adjust regenerative braking; ,2020-05-29
36GPKZLLJM1116960,180,2020-06-20,user29,498830,1011.72,replace timing belt tensioner; install intelligent alternator; ,2020-07-11
36GPKZLLJM1116960,180,2020-07-26,user30,558771,963.54,adjust reverse tilt mirrors; change steering rack; ,2020-08-18
36GPKZLLJM1116960,180,2020-09-23,user29,750737,963.54,adjust climate control; set up auto-delay headlights; ,2020-10-15
36GPKZLLJM1116960,180,2020-11-20,user29,913753,1927.08,fix sunroof; ,2021-01-04
36GPKZLLJM1116960,180,2021-02-06,user13,995272,3661.45,set up satellite radio; fix solar sunroof; ,2021-04-22
36GPKZLLJM1116960,180,2021-04-29,user13,1007036,240.88,improve engine performance; adjust adaptive cruise control; ,2021-05-10
36GPKZLLJM1116960,180,2021-05-30,roland,1125682,529.95,replace brake pedal spring; ,2021-06-15
36GPKZLLJM1116960,180,2021-08-23,user15,1280070,1059.89,add heated windshield; install curtain airbags; ,2021-09-17
36HU6JXKV0B908236,139,2020-07-30,user13,94929,635.58,change air conditioner refrigerant; fix broken tow hooks; ,2020-08-17
36HU6JXKV0B908236,139,2020-09-05,user33,277477,476.69,adjust hybrid performance; replace stabilizer bar; ,2020-11-04
36HU6JXKV0B908236,139,2021-01-08,user17,499471,119.17,fix nvh dampening system; configure universal remote control; ,2021-01-10
36HU6JXKV0B908236,139,2021-02-10,user29,827110,39.72,adjust block heater; replace tail lights; ,2021-02-13
3856NH1QBEC536316,183,2020-03-16,user17,231571,893.1,install dusk-sensing headlights; make polarization coating; ,2020-07-01
3856NH1QBEC536316,183,2020-07-30,roland,571851,19.85,install dusk-sensing headlights; install roof spoiler; ,2020-08-04
3856NH1QBEC536316,183,2020-08-26,user17,637483,59.54,adjust climate control; fix cylinder head bolts; ,2020-09-19
3856NH1QBEC536316,183,2020-12-02,user15,1131833,59.54,fix cylinder head bolts; change wheel cylinders; ,2021-01-13
3856NH1QBEC536316,183,2021-02-15,user12,1236375,19.85,check drive axle boots; ,2021-04-11
3856NH1QBEC536316,183,2021-05-23,user13,1504499,238.16,replace timing belt tensioner; adjust climate control; ,2021-06-07
3856NH1QBEC536316,183,2021-07-13,user33,1697779,476.32,fix air filter restriction indicator; replace crankcase ventilation filter; ,2021-08-16
3A03KTHXJ6O098081,189,2021-06-15,user29,245987,134.76,repair direct injection system; improve cylinder configuration; ,2021-06-24
3A03KTHXJ6O098081,189,2021-06-28,user17,293623,101.07,repair shiftable automatic transmission; repair seatbelt force limiters; ,2021-06-30
3A03KTHXJ6O098081,189,2021-07-06,user33,310381,370.6,change purge valve; change suspension fluid; ,2021-07-19
3A03KTHXJ6O098081,189,2021-07-26,user13,341860,67.38,replace brake pedal spring; ,2021-07-27
3A03KTHXJ6O098081,189,2021-08-18,user29,394252,168.45,attach seat extension; ,2021-08-24
3A03KTHXJ6O098081,189,2021-08-26,user17,404610,101.07,install dusk-sensing headlights; ,2021-08-28
3A03KTHXJ6O098081,189,2021-09-01,user12,438350,101.07,configure audio remote control; install curtain airbags; ,2021-09-04
3A03KTHXJ6O098081,189,2021-09-05,user30,449653,134.76,install on-board diagnosis system; ,2021-09-08
3A03KTHXJ6O098081,189,2021-09-11,user29,483378,202.15,adjust block heater; ,2021-09-18
3A3OOF2JN5W951740,61,2021-07-08,user17,85496,17.63,set up auto-delay headlights; adjust ignition timing; ,2021-08-09
3A3OOF2JN5W951740,61,2021-08-21,user13,155109,70.52,reduce blind spot; fix rear hvac; ,2021-08-27
3BZD4P4QMXX657876,62,2020-05-03,roland,255622,1431.14,install parking sensors; attach spoiler; ,2020-11-05
3BZD4P4QMXX657876,62,2020-11-25,user13,441302,130.1,adjust retractable mirrors; upgrade navigation system; ,2020-12-09
3BZD4P4QMXX657876,62,2020-12-29,user15,553030,3339.33,reconfigure service reminder light; fix external temperature display; ,2021-07-12
3C8P2TNWAH7477883,195,2020-04-04,roland,182107,601.15,adjust ignition timing; set up gyro sensor; ,2020-05-16
3C8P2TNWAH7477883,195,2020-07-19,user15,465736,2050.97,replace ace filter; make polarization coating; ,2020-10-11
3C8P2TNWAH7477883,195,2021-01-27,user15,510540,1131.57,replace radiator hoses; replace water pump; ,2021-03-17
3C8P2TNWAH7477883,195,2021-04-17,user33,635054,2333.86,fix air filter restriction indicator; ,2021-07-23
3J73EOBU1AT381615,167,2021-09-02,user17,665851,859,adjust low fuel warning indicator; install on-board diagnosis system; ,2021-09-15
3JLCARWCAYY553033,186,2021-06-23,user30,65532,22.64,replace timing belt tensioner; ,2021-06-28
3JLCARWCAYY553033,186,2021-06-29,user17,72139,147.14,replace radiator hoses; adjust climate control; ,2021-07-12
3JLCARWCAYY553033,186,2021-07-27,user29,156689,11.32,prevent fuel pump shutoff; change timing belt; ,2021-07-30
3JLCARWCAYY553033,186,2021-08-16,user15,344156,11.32,adjust adaptive cruise control; install anti-theft alarm; ,2021-08-16
3JLCARWCAYY553033,186,2021-08-21,user30,393205,22.64,adjust ignition timing; reduce blind spot; ,2021-08-22
3JLCARWCAYY553033,186,2021-08-26,user15,406438,67.91,repair shiftable automatic transmission; add heated windshield; ,2021-09-01
3JLCARWCAYY553033,186,2021-09-09,user33,438912,45.27,adjust running boards; change purge valve; ,2021-09-12
3JLCARWCAYY553033,186,2021-09-19,user33,464989,79.23,replace catalytic converter; attach seat extension; ,2021-09-25
3LSIXEX21UG135253,26,2020-09-01,user29,241650,459.94,repair shiftable automatic transmission; adjust retractable mirrors; ,2020-09-25
3LSIXEX21UG135253,26,2020-09-27,user17,247943,306.62,change brake linings; attach seat extension; ,2020-10-18
3LSIXEX21UG135253,26,2020-12-08,roland,587886,1328.7,adjust accelerator pedal linkage; configure audio remote control; ,2021-01-02
3LSIXEX21UG135253,26,2021-01-23,user30,785086,613.25,change pcv filter/pcv valve; replace liftgate window; ,2021-03-10
3LSIXEX21UG135253,26,2021-04-07,roland,997700,562.14,install vanity mirrors; adjust traction control system; ,2021-04-22
3LSIXEX21UG135253,26,2021-04-25,user13,1033052,255.52,adjust reverse tilt mirrors; ,2021-04-29
3LSIXEX21UG135253,26,2021-05-12,user17,1158173,817.66,replace diverter valve; replace timing belt tensioner; ,2021-06-08
3LSIXEX21UG135253,26,2021-07-02,roland,1237833,102.21,replace steering column lock; fix cylinder head bolts; ,2021-07-05
3LSIXEX21UG135253,26,2021-07-31,roland,1398811,204.42,add heated windshield; attach spoiler; ,2021-08-06
3PO4C2PYJG2012419,159,2021-06-09,user30,6495,83.52,install turbocharger; replace timing belt tensioner; ,2021-06-15
3PO4C2PYJG2012419,159,2021-06-18,user13,42345,250.57,change air conditioner refrigerant; fix a-pillar; ,2021-06-27
3PO4C2PYJG2012419,159,2021-07-02,user29,62484,27.84,replace crankcase ventilation filter; ,2021-07-06
3PO4C2PYJG2012419,159,2021-07-12,user12,84292,27.84,adjust hybrid performance; replace water pump; ,2021-07-26
